uri,points
http://bartoc.org/en/node/509,1650
http://bartoc.org/en/node/18790,1649
http://bartoc.org/en/node/18582,1649
http://bartoc.org/en/node/18535,1648
http://bartoc.org/en/node/1757,1646
http://bartoc.org/en/node/858,1645
http://bartoc.org/en/node/18653,1645
http://bartoc.org/en/node/18897,1645
http://bartoc.org/en/node/1888,1645
http://bartoc.org/en/node/1636,1644
http://bartoc.org/en/node/1158,1643
http://bartoc.org/en/node/1831,1643
http://bartoc.org/en/node/130,1643
http://bartoc.org/en/node/1066,1643
http://bartoc.org/en/node/1572,1642
http://bartoc.org/en/node/1570,1641
http://bartoc.org/en/node/171,1640
http://bartoc.org/en/node/2002,1639
http://bartoc.org/en/node/729,1638
http://bartoc.org/en/node/1610,1638
http://bartoc.org/en/node/18606,1638
http://bartoc.org/en/node/18575,1637
http://bartoc.org/en/node/18473,1637
http://bartoc.org/en/node/201,1637
http://bartoc.org/en/node/1601,1636
http://bartoc.org/en/node/71,1636
http://bartoc.org/en/node/399,1635
http://bartoc.org/en/node/174,1635
http://bartoc.org/en/node/135,1634
http://bartoc.org/en/node/17678,1634
http://bartoc.org/en/node/52,1633
http://bartoc.org/en/node/1220,1632
http://bartoc.org/en/node/539,1630
http://bartoc.org/en/node/539,1630
http://bartoc.org/en/node/1825,1630
http://bartoc.org/en/node/342,1629
http://bartoc.org/en/node/925,1628
http://bartoc.org/en/node/18599,1628
http://bartoc.org/en/node/18703,1626
http://bartoc.org/en/node/18655,1625
http://bartoc.org/en/node/17779,1622
http://bartoc.org/en/node/18093,1621
http://bartoc.org/en/node/923,1621
http://bartoc.org/en/node/158,1621
http://bartoc.org/en/node/1892,1621
http://bartoc.org/en/node/1025,1620
http://bartoc.org/en/node/33,1617
http://bartoc.org/en/node/379,1616
http://bartoc.org/en/node/18430,1615
http://bartoc.org/en/node/1786,1615
http://bartoc.org/en/node/1669,1614
http://bartoc.org/en/node/82,1614
http://bartoc.org/en/node/182,1614
http://bartoc.org/en/node/1367,1613
http://bartoc.org/en/node/18429,1613
http://bartoc.org/en/node/18571,1611
http://bartoc.org/en/node/802,1610
http://bartoc.org/en/node/18595,1609
http://bartoc.org/en/node/526,1609
http://bartoc.org/en/node/153,1608
http://bartoc.org/en/node/1763,1608
http://bartoc.org/en/node/18670,1608
http://bartoc.org/en/node/845,1607
http://bartoc.org/en/node/1584,1606
http://bartoc.org/en/node/584,1606
http://bartoc.org/en/node/1978,1606
http://bartoc.org/en/node/1067,1606
http://bartoc.org/en/node/493,1605
http://bartoc.org/en/node/724,1605
http://bartoc.org/en/node/665,1605
http://bartoc.org/en/node/693,1605
http://bartoc.org/en/node/333,1605
http://bartoc.org/en/node/1838,1604
http://bartoc.org/en/node/1585,1604
http://bartoc.org/en/node/714,1604
http://bartoc.org/en/node/1020,1602
http://bartoc.org/en/node/18625,1602
http://bartoc.org/en/node/18695,1601
http://bartoc.org/en/node/17756,1599
http://bartoc.org/en/node/1906,1598
http://bartoc.org/en/node/667,1597
http://bartoc.org/en/node/1087,1596
http://bartoc.org/en/node/18379,1595
http://bartoc.org/en/node/475,1595
http://bartoc.org/en/node/1272,1594
http://bartoc.org/en/node/18593,1594
http://bartoc.org/en/node/1970,1593
http://bartoc.org/en/node/35,1593
http://bartoc.org/en/node/1597,1590
http://bartoc.org/en/node/167,1590
http://bartoc.org/en/node/18377,1590
http://bartoc.org/en/node/1550,1589
http://bartoc.org/en/node/250,1587
http://bartoc.org/en/node/888,1587
http://bartoc.org/en/node/538,1586
http://bartoc.org/en/node/18654,1583
http://bartoc.org/en/node/18594,1582
http://bartoc.org/en/node/7,1581
http://bartoc.org/en/node/67,1578
http://bartoc.org/en/node/235,1578
http://bartoc.org/en/node/1515,1577
http://bartoc.org/en/node/17772,1574
http://bartoc.org/en/node/18505,1574
http://bartoc.org/en/node/926,1574
http://bartoc.org/en/node/1594,1573
http://bartoc.org/en/node/227,1573
http://bartoc.org/en/node/18504,1573
http://bartoc.org/en/node/1328,1572
http://bartoc.org/en/node/18527,1571
http://bartoc.org/en/node/18674,1570
http://bartoc.org/en/node/1960,1569
http://bartoc.org/en/node/1849,1565
http://bartoc.org/en/node/1280,1565
http://bartoc.org/en/node/164,1564
http://bartoc.org/en/node/1574,1564
http://bartoc.org/en/node/1670,1564
http://bartoc.org/en/node/1966,1562
http://bartoc.org/en/node/217,1562
http://bartoc.org/en/node/1812,1562
http://bartoc.org/en/node/330,1561
http://bartoc.org/en/node/1261,1561
http://bartoc.org/en/node/18502,1560
http://bartoc.org/en/node/1608,1559
http://bartoc.org/en/node/1547,1558
http://bartoc.org/en/node/18470,1558
http://bartoc.org/en/node/1882,1558
http://bartoc.org/en/node/449,1557
http://bartoc.org/en/node/2076,1556
http://bartoc.org/en/node/1569,1555
http://bartoc.org/en/node/1612,1555
http://bartoc.org/en/node/1414,1554
http://bartoc.org/en/node/1672,1554
http://bartoc.org/en/node/1596,1553
http://bartoc.org/en/node/18419,1552
http://bartoc.org/en/node/18592,1552
http://bartoc.org/en/node/18477,1551
http://bartoc.org/en/node/18666,1550
http://bartoc.org/en/node/372,1550
http://bartoc.org/en/node/1671,1550
http://bartoc.org/en/node/18368,1548
http://bartoc.org/en/node/1404,1548
http://bartoc.org/en/node/431,1547
http://bartoc.org/en/node/1541,1547
http://bartoc.org/en/node/1379,1546
http://bartoc.org/en/node/383,1545
http://bartoc.org/en/node/18479,1545
http://bartoc.org/en/node/156,1545
http://bartoc.org/en/node/1559,1545
http://bartoc.org/en/node/18482,1544
http://bartoc.org/en/node/1003,1543
http://bartoc.org/en/node/18656,1543
http://bartoc.org/en/node/262,1543
http://bartoc.org/en/node/18499,1542
http://bartoc.org/en/node/348,1541
http://bartoc.org/en/node/18038,1541
http://bartoc.org/en/node/1969,1540
http://bartoc.org/en/node/1599,1540
http://bartoc.org/en/node/2009,1540
http://bartoc.org/en/node/1525,1540
http://bartoc.org/en/node/18628,1539
http://bartoc.org/en/node/1873,1538
http://bartoc.org/en/node/1174,1536
http://bartoc.org/en/node/1439,1536
http://bartoc.org/en/node/18415,1535
http://bartoc.org/en/node/18724,1534
http://bartoc.org/en/node/18481,1532
http://bartoc.org/en/node/1771,1531
http://bartoc.org/en/node/17760,1530
http://bartoc.org/en/node/151,1529
http://bartoc.org/en/node/18608,1528
http://bartoc.org/en/node/1868,1528
http://bartoc.org/en/node/378,1528
http://bartoc.org/en/node/494,1526
http://bartoc.org/en/node/1325,1525
http://bartoc.org/en/node/1542,1525
http://bartoc.org/en/node/91,1525
http://bartoc.org/en/node/36,1523
http://bartoc.org/en/node/1000,1523
http://bartoc.org/en/node/50,1522
http://bartoc.org/en/node/2005,1521
http://bartoc.org/en/node/18446,1520
http://bartoc.org/en/node/17724,1520
http://bartoc.org/en/node/18602,1519
http://bartoc.org/en/node/488,1519
http://bartoc.org/en/node/202,1519
